iter	Passed	Remaining
408	7538	10892
409	7563	10883
410	7593	10881
411	7610	10861
412	7635	10852
413	7664	10848
414	7693	10844
415	7720	10838
416	7746	10830
417	7770	10818
418	7796	10811
419	7822	10802
420	7848	10794
421	7864	10772
422	7889	10762
423	7912	10748
424	7930	10728
425	7954	10717
426	7980	10709
427	8000	10692
428	8026	10683
429	8051	10672
430	8077	10664
431	8102	10652
432	8130	10646
433	8156	10637
434	8182	10627
435	8204	10613
436	8230	10603
437	8258	10596
438	8282	10584
439	8307	10573
440	8324	10551
441	8349	10540
442	8370	10524
443	8394	10512
444	8419	10501
445	8442	10487
446	8467	10476
447	8482	10451
448	8505	10438
449	8529	10424
450	8542	10398
451	8563	10382
452	8588	10371
453	8606	10350
454	8629	10335
455	8646	10315
456	8671	10303
457	8692	10286
458	8711	10267
459	8735	10254
460	8759	10241
461	8783	10228
462	8808	10216
463	8829	10200
464	8857	10190
465	8884	10180
466	8903	10162
467	8925	10145
468	8953	10136
469	8980	10127
470	9007	10116
471	9034	10106
472	9063	10097
473	9084	10081
474	9099	10056
475	9127	10047
476	9154	10037
477	9181	10026
478	9210	10018
479	9238	10008
480	9260	9992
481	9284	9977
482	9310	9965
483	9334	9951
484	9361	9940
485	9384	9924
486	9408	9911
487	9432	9896
488	9453	9879
489	9476	9863
490	9503	9851
491	9525	9835
492	9550	9821
493	9578	9811
494	9600	9794
495	9619	9774
496	9637	9753
497	9652	9730
498	9677	9716
499	9702	9702
500	9715	9676
501	9744	9666
502	9765	9649
503	9791	9636
504	9810	9616
505	9831	9598
506	9857	9585
507	9882	9571
508	9906	9556
509	9930	9540
510	9950	9522
511	9976	9509
512	10000	9493
513	10012	9467
514	10037	9452
515	10059	9435
516	10080	9417
517	10107	9404
518	10132	9390
519	10151	9370
520	10178	9358
521	10205	9345
522	10231	9331
523	10256	9316
524	10276	9297
525	10304	9285
526	10328	9270
527	10346	9249
528	10373	9235
529	10398	9221
530	10406	9191
531	10432	9177
532	10452	9157
533	10481	9146
534	10500	9126
535	10529	9114
536	10554	9099
537	10579	9084
538	10603	9069
539	10626	9052
540	10652	9037
541	10668	9015
542	10694	9000
543	10720	8985
544	10740	8966
545	10761	8948
546	10783	8930
547	10808	8915
548	10837	8903
549	10862	8887
550	10888	8872
551	10912	8856
552	10938	8841
553	10960	8823
554	10979	8803
555	11005	8788
556	11029	8772
557	11054	8756
558	11084	8744
559	11109	8729
560	11132	8711
561	11158	8696
562	11184	8681
563	11206	8662
564	11232	8648
565	11257	8632
566	11279	8613
567	11296	8591
568	11317	8572
569	11344	8557
570	11371	8543
571	11396	8527
572	11420	8510
573	11438	8488
574	11464	8473
575	11493	8460
576	11517	8443
577	11545	8429
578	11567	8410
579	11586	8390
580	11604	8368
581	11624	8348
